S.No.,Seller Name,Offered Item,Total Price,Rank,Winner
1,IDEAL DELIGHT SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
2,VIBRANT ASPIRATIONS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
3,KNIGHT SURVEILLANCE SECURITY ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
4,NEW JWALLA SECURITY FORCE ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
5,R.V.ENTERPRISE ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
6,MRITYUNJAY OUTSOURCING SERVICES ( MSE Social Category:SC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
7,SCM PROTECTION PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
8,EAGLE SPS INDIA PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
9,NEGIE INFOTECH ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
10,LALITA ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
11,VANSH MANPOWER SOLUTIONS PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
12,JAY ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
13,SRV ENTERPRISE ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
14,SAKOM SECURITY & MANPOWER SERVICES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
15,YASH R SOLUTION ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
16,IMPRESSIVE HOSPITALITIES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
17,NEXT TRADE ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
18,OM ENTERPRISES ( MSE Social Category:OBC ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
19,RM ENTERPRISES ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
20,RIDDHI SAMRUDDHI SERVICES LLP ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
21,SHLOKVAR SECURITY MANAGEMENT SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
22,SEBUSHI SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,Item Categories : Manpower Outsourcing Services - Fixed Remuneration - Others; Attendant; High School,` 308196.46,L1
